Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
06/12/14,St Etienne,Bastia,1.0,0.0,H,14.0,12.0,2.0,3.0,5.0,3.0,10.0,10.0,1.0,1.0,0.0,0.0
07/12/14,Evian Thonon Gaillard,Lyon,2.0,3.0,A,6.0,20.0,2.0,8.0,1.0,6.0,16.0,22.0,2.0,3.0,0.0,0.0
07/12/14,Lens,Lille,1.0,1.0,D,14.0,5.0,3.0,2.0,10.0,2.0,18.0,6.0,4.0,1.0,0.0,0.0
07/12/14,Marseille,Metz,3.0,1.0,H,16.0,14.0,7.0,5.0,4.0,5.0,9.0,9.0,0.0,1.0,0.0,0.0
07/12/14,Reims,Guingamp,2.0,3.0,A,14.0,7.0,5.0,5.0,7.0,3.0,15.0,21.0,2.0,3.0,0.0,0.0
12/12/14,Lyon,Caen,3.0,0.0,H,23.0,9.0,12.0,2.0,7.0,2.0,9.0,17.0,1.0,2.0,0.0,0.0
13/12/14,Bastia,Rennes,2.0,0.0,H,16.0,5.0,6.0,1.0,6.0,2.0,17.0,6.0,3.0,2.0,0.0,1.0
13/12/14,Lorient,Metz,3.0,1.0,H,21.0,11.0,8.0,2.0,3.0,7.0,7.0,17.0,1.0,1.0,0.0,0.0
13/12/14,Montpellier,Lens,3.0,3.0,D,12.0,16.0,5.0,7.0,5.0,3.0,15.0,30.0,2.0,2.0,0.0,0.0
13/12/14,Nantes,Bordeaux,2.0,1.0,H,6.0,11.0,1.0,5.0,3.0,4.0,17.0,15.0,1.0,1.0,0.0,0.0
13/12/14,Reims,Evian Thonon Gaillard,3.0,2.0,H,14.0,9.0,5.0,5.0,5.0,3.0,10.0,16.0,3.0,3.0,0.0,1.0
14/12/14,Guingamp,Paris SG,1.0,0.0,H,7.0,15.0,2.0,3.0,4.0,5.0,12.0,12.0,0.0,3.0,0.0,0.0
14/12/14,Lille,Toulouse,3.0,0.0,H,15.0,3.0,7.0,1.0,4.0,1.0,16.0,18.0,3.0,2.0,0.0,1.0
14/12/14,Monaco,Marseille,1.0,0.0,H,12.0,10.0,3.0,3.0,6.0,8.0,16.0,16.0,3.0,2.0,0.0,0.0
14/12/14,Nice,St Etienne,0.0,0.0,D,5.0,11.0,3.0,2.0,7.0,6.0,12.0,23.0,1.0,1.0,1.0,1.0
